Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O46678	reviewed	GROA_SHEEP	Growth-regulated alpha protein (C-X-C motif chemokine 1)	CXCL1 GRO SCYB1	Ovis aries (Sheep)	103
O55235	reviewed	GROA_CAVPO	Growth-regulated alpha protein (C-X-C motif chemokine 1)	CXCL1 GRO SCYB1	Cavia porcellus (Guinea pig)	104
O62812	reviewed	IL8_HORSE	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL8 IL8	Equus caballus (Horse)	101
O88430	reviewed	CCL22_MOUSE	C-C motif chemokine 22 (Activated B and dendritic cell-derived) (CC chemokine ABCD-1) (Small-inducible cytokine A22)	Ccl22 Abcd1 Scya22	Mus musculus (Mouse)	92
P41324	reviewed	IL8_CANLF	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL8 IL8	Canis lupus familiaris (Dog) (Canis familiaris)	101
P46632	reviewed	CCL4_RABIT	C-C motif chemokine 4 (Immune activation protein 2) (ACT-2) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Small-inducible cytokine A4)	CCL4 SCYA4	Oryctolagus cuniculus (Rabbit)	92
P49113	reviewed	IL8_CAVPO	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Neutrophil attractant protein 1) (NAP-1)	CXCL8 IL8	Cavia porcellus (Guinea pig)	101
P82943	reviewed	REG1_BOVIN	Regakine-1		Bos taurus (Bovine)	92
Q17QA1	reviewed	CCL4_BOVIN	C-C motif chemokine 4 (Small-inducible cytokine A4)	CCL4 SCY4A	Bos taurus (Bovine)	92
Q2KIR3	unreviewed	Q2KIR3_BOVIN	C-C motif chemokine ligand 24 (Chemokine (C-C motif) ligand 24)	CCL24	Bos taurus (Bovine)	116
Q3TVN6	unreviewed	Q3TVN6_MOUSE	Multifunctional fusion protein [Includes: Platelet factor 4 (PF-4) (C-X-C motif chemokine 4); C-X-C motif chemokine]	Pf4 Cxcl4	Mus musculus (Mouse)	105
Q3U0A4	unreviewed	Q3U0A4_MOUSE	C-C motif chemokine	Ccl24	Mus musculus (Mouse)	119
Q3U1J5	unreviewed	Q3U1J5_MOUSE	C-X-C motif chemokine	Cxcl2	Mus musculus (Mouse)	100
Q56JW7	unreviewed	Q56JW7_BOVIN	C-X-C motif chemokine	CXCL13	Bos taurus (Bovine)	109
Q5EBF6	reviewed	SDF1_XENTR	Stromal cell-derived factor 1 (SDF-1) (C-X-C motif chemokine 12)	cxcl12 sdf1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	93
Q5PPP2	unreviewed	Q5PPP2_RAT	C-C motif chemokine ligand 24	Ccl24	Rattus norvegicus (Rat)	119
Q5RA36	reviewed	CCL2_PONAB	C-C motif chemokine 2 (Small-inducible cytokine A2)	CCL2	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	99
Q68AZ0	reviewed	CCL4_CANLF	C-C motif chemokine 4 (Small-inducible cytokine A4)	CCL4 SCYA4	Canis lupus familiaris (Dog) (Canis familiaris)	92
Q68FP3	reviewed	CCL6_RAT	C-C motif chemokine 6 (Small-inducible cytokine A6)	Ccl6	Rattus norvegicus (Rat)	115
Q68Y86	reviewed	CCL24_CANLF	C-C motif chemokine 24 (Eosinophil chemotactic protein 2) (Eotaxin-2) (Small-inducible cytokine A24)	CCL24	Canis lupus familiaris (Dog) (Canis familiaris)	119
Q68Y88	reviewed	CCL13_CANLF	C-C motif chemokine 13 (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (Small-inducible cytokine A13)	CCL13	Canis lupus familiaris (Dog) (Canis familiaris)	98
Q6I9T4	unreviewed	Q6I9T4_HUMAN	C-C motif chemokine	CCL11 hCG_29299	Homo sapiens (Human)	97
Q711P4	reviewed	CCL4_PIG	C-C motif chemokine 4 (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Small-inducible cytokine A4)	CCL4 MIP1B SCY4A	Sus scrofa (Pig)	92
Q7TNL0	unreviewed	Q7TNL0_RAT	C-X-C motif chemokine	Cxcl11	Rattus norvegicus (Rat)	100
Q8HYS0	reviewed	CCL5_CANLF	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5 SCYA5	Canis lupus familiaris (Dog) (Canis familiaris)	91
Q8K477	unreviewed	Q8K477_RAT	Eotaxin-2-like protein	Ccl24	Rattus norvegicus (Rat)	119
Q8MIN2	reviewed	CXCL6_HORSE	C-X-C motif chemokine 6 (Granulocyte chemotactic protein 2) (GCP-2) (Small-inducible cytokine B6)	CXCL6 GCP2 SCYB6	Equus caballus (Horse)	113
Q8MKD0	reviewed	CCL5_HORSE	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5 SCYA5	Equus caballus (Horse)	91
Q8SQB1	reviewed	CCL20_BOVIN	C-C motif chemokine 20 (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20)	CCL20 MIP3A SCYA20	Bos taurus (Bovine)	96
Q95N01	reviewed	CCL17_CANLF	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)	CCL17 TARC	Canis lupus familiaris (Dog) (Canis familiaris)	99
Q9ERE0	reviewed	CCL17_RAT	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)	Ccl17 Abcd-2 Tarc	Rattus norvegicus (Rat)	93
Q9JHH5	reviewed	CXL11_MOUSE	C-X-C motif chemokine 11 (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	Cxcl11 Scyb11	Mus musculus (Mouse)	100
Q9TTQ4	reviewed	CCL11_HORSE	Eotaxin (C-C motif chemokine 11) (Small-inducible cytokine A11)	CCL11 SCYA11	Equus caballus (Horse)	100
Q9Z318	unreviewed	Q9Z318_CAVPO	C-C motif chemokine	Mcpt3	Cavia porcellus (Guinea pig)	97
A0A087X089	unreviewed	A0A087X089_HUMAN	C-C motif chemokine	CCL14	Homo sapiens (Human)	115
A0A088C578	unreviewed	A0A088C578_HORSE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	SDF1	Equus caballus (Horse)	89
A0A0B4J2E2	unreviewed	A0A0B4J2E2_HUMAN	C-C motif chemokine	CCL15-CCL14	Homo sapiens (Human)	113
A0A0C4DGC1	unreviewed	A0A0C4DGC1_HUMAN	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CXCL14	Homo sapiens (Human)	99
A0A0G2KM47	unreviewed	A0A0G2KM47_DANRE	C-X-C motif chemokine 11-6-like	cxcl11.4 LOC567656	Danio rerio (Zebrafish) (Brachydanio rerio)	96
A0A0G2L2I4	unreviewed	A0A0G2L2I4_DANRE	C-C motif chemokine	ccl36.1 CCL-chr7a CCL-CUi CCL36ab	Danio rerio (Zebrafish) (Brachydanio rerio)	93
A0A0R4IQ43	unreviewed	A0A0R4IQ43_DANRE	Chemokine (C-X-C motif) ligand 11, duplicate 5	cxcl11.5	Danio rerio (Zebrafish) (Brachydanio rerio)	106
A0A0R4IRX2	unreviewed	A0A0R4IRX2_DANRE	C-C motif chemokine	ccl27a ccl1 wu:fa96a04	Danio rerio (Zebrafish) (Brachydanio rerio)	94
A0A0R4ISV2	unreviewed	A0A0R4ISV2_DANRE	Chemokine (C-C motif) ligand 39, duplicate 2 (Eotaxin isoform X1)	ccl39.2	Danio rerio (Zebrafish) (Brachydanio rerio)	87
A0A1B8Y8I6	unreviewed	A0A1B8Y8I6_XENTR	Chemokine interleukin-8-like domain-containing protein	XENTR_v90029243mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	105
A0A1B8Y8K7	unreviewed	A0A1B8Y8K7_XENTR	Interleukin-8 (Provisional ortholog of C-X-C motif chemokine ligand 8)	cxcl8b.2 LOC100498234 XB5945946 XB5945946 [provisional:cxcl8] XENTR_v90029245mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	108
A0A1B8Y8M7	unreviewed	A0A1B8Y8M7_XENTR	Chemokine interleukin-8-like domain-containing protein	XENTR_v90029262mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	99
A0A1B8Y8M9	unreviewed	A0A1B8Y8M9_XENTR	C-X-C motif chemokine	cxcl2 XENTR_v90029241mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	101
A0A1B8Y8P4	unreviewed	A0A1B8Y8P4_XENTR	Interleukin-8	cxcl8a.2 LOC100498389 XENTR_v90029244mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	105

A0A1S3KNJ8	unreviewed	A0A1S3KNJ8_SALSA	C-C motif chemokine	LOC106561115	Salmo salar (Atlantic salmon)	101
A0A1S3M1J3	unreviewed	A0A1S3M1J3_SALSA	C-C motif chemokine	LOC106569680	Salmo salar (Atlantic salmon)	104
A0A1S3M7E3	unreviewed	A0A1S3M7E3_SALSA	C-C motif chemokine	LOC106570861	Salmo salar (Atlantic salmon)	114
A0A1S3M7H7	unreviewed	A0A1S3M7H7_SALSA	C-X-C motif chemokine 11-like	LOC106570878	Salmo salar (Atlantic salmon)	103
A0A1S3N380	unreviewed	A0A1S3N380_SALSA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	cxcl12	Salmo salar (Atlantic salmon)	98
A0A1S3N8D6	unreviewed	A0A1S3N8D6_SALSA	Growth-regulated alpha protein-like	LOC106577834	Salmo salar (Atlantic salmon)	112
A0A1S3NQ22	unreviewed	A0A1S3NQ22_SALSA	Interleukin-8-like	LOC106580715	Salmo salar (Atlantic salmon)	117
A0A1S3R9J1	unreviewed	A0A1S3R9J1_SALSA	Permeability factor 2-like	LOC106601371	Salmo salar (Atlantic salmon)	97
A0A1S3RB01	unreviewed	A0A1S3RB01_SALSA	Growth-regulated alpha protein-like	LOC106601388	Salmo salar (Atlantic salmon)	113
A0A1S3RPB1	unreviewed	A0A1S3RPB1_SALSA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	LOC106604225	Salmo salar (Atlantic salmon)	98
A0A1S3S4A9	unreviewed	A0A1S3S4A9_SALSA	Permeability factor 2-like	LOC106607048	Salmo salar (Atlantic salmon)	97
A0A1S3S8Y7	unreviewed	A0A1S3S8Y7_SALSA	C-X-C motif chemokine 13-like	LOC106607873	Salmo salar (Atlantic salmon)	110
A0A1S3SCC4	unreviewed	A0A1S3SCC4_SALSA	C-C motif chemokine	LOC106608548	Salmo salar (Atlantic salmon)	92
A0A1S3SDX3	unreviewed	A0A1S3SDX3_SALSA	Permeability factor 2-like	LOC106608877	Salmo salar (Atlantic salmon)	115
A0A286X7F8	unreviewed	A0A286X7F8_CAVPO	C-C motif chemokine	LOC100735368	Cavia porcellus (Guinea pig)	94
A0A286XAH0	unreviewed	A0A286XAH0_CAVPO	C-C motif chemokine ligand 27	CCL27	Cavia porcellus (Guinea pig)	119
A0A286XIJ8	unreviewed	A0A286XIJ8_CAVPO	C-C motif chemokine	CCL14	Cavia porcellus (Guinea pig)	94
A0A286XMC6	unreviewed	A0A286XMC6_CAVPO	C-C motif chemokine	LOC100717552	Cavia porcellus (Guinea pig)	120
A0A286XNL7	unreviewed	A0A286XNL7_CAVPO	C-C motif chemokine	LOC106027640	Cavia porcellus (Guinea pig)	97
A0A286XPT6	unreviewed	A0A286XPT6_CAVPO	C-C motif chemokine	LOC100734903	Cavia porcellus (Guinea pig)	93
A0A286XWF2	unreviewed	A0A286XWF2_CAVPO	C-X-C motif chemokine	Cxcl2	Cavia porcellus (Guinea pig)	118
A0A286XYS9	unreviewed	A0A286XYS9_CAVPO	C-C motif chemokine	LOC100735187	Cavia porcellus (Guinea pig)	93
A0A286Y1J7	unreviewed	A0A286Y1J7_CAVPO	C-X-C motif chemokine	LOC100732171	Cavia porcellus (Guinea pig)	113
A0A286Y638	unreviewed	A0A286Y638_CAVPO	C-C motif chemokine	CCL22	Cavia porcellus (Guinea pig)	93
A0A287A706	unreviewed	A0A287A706_PIG	C-X-C motif chemokine	CXCL13	Sus scrofa (Pig)	111
A0A287AV32	unreviewed	A0A287AV32_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A287BFR1	unreviewed	A0A287BFR1_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	107
A0A2I2Y596	unreviewed	A0A2I2Y596_GORGO	C-X-C motif chemokine		Gorilla gorilla gorilla (Western lowland gorilla)	105
A0A2I2Y5I3	unreviewed	A0A2I2Y5I3_GORGO	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)		Gorilla gorilla gorilla (Western lowland gorilla)	93
A0A2I2YFE1	unreviewed	A0A2I2YFE1_GORGO	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)		Gorilla gorilla gorilla (Western lowland gorilla)	119
A0A2I2YNA7	unreviewed	A0A2I2YNA7_GORGO	C-C motif chemokine		Gorilla gorilla gorilla (Western lowland gorilla)	120
A0A2I2YQQ2	unreviewed	A0A2I2YQQ2_GORGO	C-X-C motif chemokine		Gorilla gorilla gorilla (Western lowland gorilla)	94
A0A2I2YT40	unreviewed	A0A2I2YT40_GORGO	X-C motif chemokine ligand 1		Gorilla gorilla gorilla (Western lowland gorilla)	102
A0A2I2ZAI4	unreviewed	A0A2I2ZAI4_GORGO	C-C motif chemokine		Gorilla gorilla gorilla (Western lowland gorilla)	97
A0A2I2ZUR5	unreviewed	A0A2I2ZUR5_GORGO	C-C motif chemokine	CCL22	Gorilla gorilla gorilla (Western lowland gorilla)	93
A0A2I2ZVE3	unreviewed	A0A2I2ZVE3_GORGO	Chemokine interleukin-8-like domain-containing protein		Gorilla gorilla gorilla (Western lowland gorilla)	79
A0A2I3FXY3	unreviewed	A0A2I3FXY3_NOMLE	Chemokine interleukin-8-like domain-containing protein	CCL19	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	98
A0A2I3GD59	unreviewed	A0A2I3GD59_NOMLE	Chemokine interleukin-8-like domain-containing protein		Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	90
A0A2I3GFF0	unreviewed	A0A2I3GFF0_NOMLE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CXCL12	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	119
A0A2I3GWS5	unreviewed	A0A2I3GWS5_NOMLE	C-C motif chemokine	CCL20	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	96
A0A2I3H0B4	unreviewed	A0A2I3H0B4_NOMLE	Chemokine interleukin-8-like domain-containing protein	LOC100595821	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	89
A0A2I3H1A2	unreviewed	A0A2I3H1A2_NOMLE	Chemokine interleukin-8-like domain-containing protein		Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	91
A0A2I3H9H8	unreviewed	A0A2I3H9H8_NOMLE	C-C motif chemokine	CCL22	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	93
A0A2I3HDJ2	unreviewed	A0A2I3HDJ2_NOMLE	C-C motif chemokine	CCL14	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	93
A0A2I3HE97	unreviewed	A0A2I3HE97_NOMLE	Chemokine interleukin-8-like domain-containing protein	LOC100607085	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	114
A0A2I3HJM1	unreviewed	A0A2I3HJM1_NOMLE	C-C motif chemokine	LOC100602058	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	92
A0A2I3HKQ9	unreviewed	A0A2I3HKQ9_NOMLE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CXCL12	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	93
A0A2I3HUY2	unreviewed	A0A2I3HUY2_NOMLE	C-X-C motif chemokine		Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	94
A0A2I3HWJ4	unreviewed	A0A2I3HWJ4_NOMLE	Chemokine interleukin-8-like domain-containing protein	LOC100595821	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	92
A0A2I3RZV6	unreviewed	A0A2I3RZV6_PANTR	C-X-C motif chemokine	CXCL1	Pan troglodytes (Chimpanzee)	105
A0A2I3S7G8	unreviewed	A0A2I3S7G8_PANTR	C-C motif chemokine		Pan troglodytes (Chimpanzee)	99
A0A2I3SAA6	unreviewed	A0A2I3SAA6_PANTR	Chemokine interleukin-8-like domain-containing protein		Pan troglodytes (Chimpanzee)	92
A0A2I3SMD5	unreviewed	A0A2I3SMD5_PANTR	C-C motif chemokine	CCL22	Pan troglodytes (Chimpanzee)	93
A0A2I3SR46	unreviewed	A0A2I3SR46_PANTR	C-C motif chemokine	CCL3L3	Pan troglodytes (Chimpanzee)	87
A0A2I3SS61	unreviewed	A0A2I3SS61_PANTR	Chemokine interleukin-8-like domain-containing protein		Pan troglodytes (Chimpanzee)	87
A0A2I3SUB7	unreviewed	A0A2I3SUB7_PANTR	C-X-C motif chemokine	CXCL2	Pan troglodytes (Chimpanzee)	117
A0A2I3T6I9	unreviewed	A0A2I3T6I9_PANTR	Chemokine interleukin-8-like domain-containing protein	LOC469572	Pan troglodytes (Chimpanzee)	114
A0A2I3TGU9	unreviewed	A0A2I3TGU9_PANTR	Chemokine interleukin-8-like domain-containing protein	LOC455004	Pan troglodytes (Chimpanzee)	103
A0A2J8LJ49	unreviewed	A0A2J8LJ49_PANTR	C-C motif chemokine	CK820_G0028671	Pan troglodytes (Chimpanzee)	99
A0A2J8LJ50	unreviewed	A0A2J8LJ50_PANTR	C-C motif chemokine	CK820_G0028673	Pan troglodytes (Chimpanzee)	99
A0A2J8LJK6	unreviewed	A0A2J8LJK6_PANTR	C-C motif chemokine	CK820_G0028752	Pan troglodytes (Chimpanzee)	93
A0A2J8LJL0	unreviewed	A0A2J8LJL0_PANTR	C-C motif chemokine	CK820_G0028758	Pan troglodytes (Chimpanzee)	120
A0A2J8LJL5	unreviewed	A0A2J8LJL5_PANTR	C-C motif chemokine	CK820_G0028752	Pan troglodytes (Chimpanzee)	115
A0A2J8LJW1	unreviewed	A0A2J8LJW1_PANTR	C-C motif chemokine	CK820_G0028814	Pan troglodytes (Chimpanzee)	87
A0A2J8LRP4	unreviewed	A0A2J8LRP4_PANTR	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CK820_G0026685	Pan troglodytes (Chimpanzee)	99
A0A2J8MW74	unreviewed	A0A2J8MW74_PANTR	C-C motif chemokine	CCL17	Pan troglodytes (Chimpanzee)	94
A0A2J8NFH2	unreviewed	A0A2J8NFH2_PANTR	C-C motif chemokine	CK820_G0010930	Pan troglodytes (Chimpanzee)	95
A0A2J8PFF2	unreviewed	A0A2J8PFF2_PANTR	C-X-C motif chemokine	CK820_G0003474	Pan troglodytes (Chimpanzee)	95
A0A2J8PX74	unreviewed	A0A2J8PX74_PANTR	C-C motif chemokine	CCL26	Pan troglodytes (Chimpanzee)	94
A0A2J8QS38	unreviewed	A0A2J8QS38_PANTR	C-C motif chemokine	CK820_G0014397	Pan troglodytes (Chimpanzee)	104
A0A2J8QZH7	unreviewed	A0A2J8QZH7_PONAB	CCL4L2 isoform 9	CR201_G0055603	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	87
A0A2J8RCK5	unreviewed	A0A2J8RCK5_PONAB	C-C motif chemokine	CR201_G0051837	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	93
A0A2J8RCK6	unreviewed	A0A2J8RCK6_PONAB	C-C motif chemokine	CR201_G0051837	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	109
A0A2J8RCM5	unreviewed	A0A2J8RCM5_PONAB	C-C motif chemokine	CCL14 CR201_G0051837	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	115
A0A2J8SHS1	unreviewed	A0A2J8SHS1_PONAB	C-C motif chemokine	CR201_G0042846	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	95
A0A2J8TNF8	unreviewed	A0A2J8TNF8_PONAB	C-C motif chemokine	CCL13 CR201_G0033751	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	98
A0A2J8UTY4	unreviewed	A0A2J8UTY4_PONAB	C-X-C motif chemokine	CR201_G0024834	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	113
A0A2J8VQ66	unreviewed	A0A2J8VQ66_PONAB	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CR201_G0017585	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	99
A0A2J8VZ34	unreviewed	A0A2J8VZ34_PONAB	C-C motif chemokine	CCL22 CR201_G0014625	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	93
A0A2J8XTB3	unreviewed	A0A2J8XTB3_PONAB	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CXCL12 CR201_G0044927	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	119
A0A2J8XTI0	unreviewed	A0A2J8XTI0_PONAB	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CR201_G0044927	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	89

A0A2R8MT57	unreviewed	A0A2R8MT57_CALJA	C-C motif chemokine	CCL16	Callithrix jacchus (White-tufted-ear marmoset)	116
A0A2R8MXM6	unreviewed	A0A2R8MXM6_CALJA	C-C motif chemokine	CCL13	Callithrix jacchus (White-tufted-ear marmoset)	97
A0A2R8N0J1	unreviewed	A0A2R8N0J1_CALJA	C-C motif chemokine	CCL16	Callithrix jacchus (White-tufted-ear marmoset)	108
A0A2R8N9E7	unreviewed	A0A2R8N9E7_CALJA	C-X-C motif chemokine	CXCL6	Callithrix jacchus (White-tufted-ear marmoset)	116
A0A2R8QR67	unreviewed	A0A2R8QR67_DANRE	C-C motif chemokine 21 (Chemokine (C-C motif) ligand 25a)	ccl25a	Danio rerio (Zebrafish) (Brachydanio rerio)	102
A0A2R8QTH6	unreviewed	A0A2R8QTH6_DANRE	Chemokine (C-C motif) ligand 19a, tandem duplicate 2 (Similar to CC chemokine SCYA113)	ccl19a.2 LOC794521	Danio rerio (Zebrafish) (Brachydanio rerio)	96


A0A3Q1LKC4	unreviewed	A0A3Q1LKC4_BOVIN	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Bos taurus (Bovine)	117
A0A3Q1M5N8	unreviewed	A0A3Q1M5N8_BOVIN	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Bos taurus (Bovine)	93
A0A3Q1N456	unreviewed	A0A3Q1N456_BOVIN	C-X-C motif chemokine		Bos taurus (Bovine)	102
A0A3Q2HK92	unreviewed	A0A3Q2HK92_HORSE	C-C motif chemokine 1 (Small-inducible cytokine A1)	CCL1	Equus caballus (Horse)	94
A0A3Q2I4T7	unreviewed	A0A3Q2I4T7_HORSE	C-C motif chemokine 22 (Small-inducible cytokine A22)	CCL22	Equus caballus (Horse)	93
A0A3Q2IDW7	unreviewed	A0A3Q2IDW7_HORSE	Chemokine interleukin-8-like domain-containing protein	XCL1	Equus caballus (Horse)	112
A0A480X3P5	unreviewed	A0A480X3P5_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	107
A0A481B8J5	unreviewed	A0A481B8J5_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	103
A0A4D6YKM5	unreviewed	A0A4D6YKM5_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMT2	unreviewed	A0A4D6YMT2_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMU3	unreviewed	A0A4D6YMU3_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMV4	unreviewed	A0A4D6YMV4_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YNR9	unreviewed	A0A4D6YNR9_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YW90	unreviewed	A0A4D6YW90_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YWC7	unreviewed	A0A4D6YWC7_MOUSE	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	XCL1	Mus musculus (Mouse)	114

A0A4X1SDP2	unreviewed	A0A4X1SDP2_PIG	C-C motif chemokine		Sus scrofa (Pig)	93
A0A4X1SVT8	unreviewed	A0A4X1SVT8_PIG	C-X-C motif chemokine	CXCL13	Sus scrofa (Pig)	111
A0A4X1SX03	unreviewed	A0A4X1SX03_PIG	C-X-C motif chemokine	CXCL11	Sus scrofa (Pig)	100
A0A4X1SZ52	unreviewed	A0A4X1SZ52_PIG	C-X-C motif chemokine	CXCL10	Sus scrofa (Pig)	103
A0A4X1T2F3	unreviewed	A0A4X1T2F3_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T3L2	unreviewed	A0A4X1T3L2_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T3T9	unreviewed	A0A4X1T3T9_PIG	C-X-C motif chemokine	CXCL8	Sus scrofa (Pig)	95
A0A4X1T4W1	unreviewed	A0A4X1T4W1_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T4Z1	unreviewed	A0A4X1T4Z1_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T503	unreviewed	A0A4X1T503_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T574	unreviewed	A0A4X1T574_PIG	C-C motif chemokine	CCL16	Sus scrofa (Pig)	120
A0A4X1T596	unreviewed	A0A4X1T596_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T5A9	unreviewed	A0A4X1T5A9_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T5B6	unreviewed	A0A4X1T5B6_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T5K8	unreviewed	A0A4X1T5K8_PIG	C-C motif chemokine		Sus scrofa (Pig)	92
A0A4X1T626	unreviewed	A0A4X1T626_PIG	C-C motif chemokine	CCL14	Sus scrofa (Pig)	99
A0A4X1TDM7	unreviewed	A0A4X1TDM7_PIG	C-C motif chemokine	CCL1	Sus scrofa (Pig)	94
A0A4X1U1V7	unreviewed	A0A4X1U1V7_PIG	C-C motif chemokine	CCL20	Sus scrofa (Pig)	95
