Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A1L8FKT2	unreviewed	A0A1L8FKT2_XENLA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	cxcl12.L cxcl12 sdf-1 sdf1 xSDF-1 xSDF-1alpha	Xenopus laevis (African clawed frog)	89
A0A1L8G509	unreviewed	A0A1L8G509_XENLA	C-C motif chemokine	ccl20.S	Xenopus laevis (African clawed frog)	100
A0A1L8G536	unreviewed	A0A1L8G536_XENLA	Cytokine SCM-1 beta	LOC108717597	Xenopus laevis (African clawed frog)	115
A0A1L8GBB5	unreviewed	A0A1L8GBB5_XENLA	C-C motif chemokine	ccl20.L	Xenopus laevis (African clawed frog)	98
A0A1L8HDW4	unreviewed	A0A1L8HDW4_XENLA	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	ccl5.L	Xenopus laevis (African clawed frog)	93
A0A1L8HG64	unreviewed	A0A1L8HG64_XENLA	C-C motif chemokine	ccl4.L	Xenopus laevis (African clawed frog)	89
A0A1L8HGB3	unreviewed	A0A1L8HGB3_XENLA	C-C motif chemokine	LOC108708330 LOC108708329	Xenopus laevis (African clawed frog)	95
A0A1L8HMG0	unreviewed	A0A1L8HMG0_XENLA	Interleukin-8	cxcl8b.S cxc8b.1.S cxcl8b.1.S LOC108706149	Xenopus laevis (African clawed frog)	91
A0A1L8HMG8	unreviewed	A0A1L8HMG8_XENLA	C-X-C motif chemokine	cxcl2.S	Xenopus laevis (African clawed frog)	101
A0A1L8HMI3	unreviewed	A0A1L8HMI3_XENLA	Alveolar macrophage chemotactic factor	cxcl8a.2.S LOC108706143	Xenopus laevis (African clawed frog)	105
A0A1L8HS92	unreviewed	A0A1L8HS92_XENLA	C-C motif chemokine	LOC108707360	Xenopus laevis (African clawed frog)	116
A0A1L8HVC3	unreviewed	A0A1L8HVC3_XENLA	Alveolar macrophage chemotactic factor	cxcl8a.2.L LOC108711090	Xenopus laevis (African clawed frog)	105
A0A1L8HVE2	unreviewed	A0A1L8HVE2_XENLA	C-X-C motif chemokine 13	cxcl13.L	Xenopus laevis (African clawed frog)	104
A0A1L8I2Z5	unreviewed	A0A1L8I2Z5_XENLA	C-C motif chemokine	LOC108718829	Xenopus laevis (African clawed frog)	97
A0A1L8I3Q5	unreviewed	A0A1L8I3Q5_XENLA	C-C motif chemokine	LOC108718818	Xenopus laevis (African clawed frog)	120

A0A287A706	unreviewed	A0A287A706_PIG	C-X-C motif chemokine	CXCL13	Sus scrofa (Pig)	111
A0A287AV32	unreviewed	A0A287AV32_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A287BFR1	unreviewed	A0A287BFR1_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	107
A0A2I2U9C3	unreviewed	A0A2I2U9C3_FELCA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Felis catus (Cat) (Felis silvestris catus)	119
A0A2I2UC63	unreviewed	A0A2I2UC63_FELCA	C-C motif chemokine 1 (Small-inducible cytokine A1)	CCL1	Felis catus (Cat) (Felis silvestris catus)	94
A0A2I2UXP9	unreviewed	A0A2I2UXP9_FELCA	C-C motif chemokine	CCL22	Felis catus (Cat) (Felis silvestris catus)	93
A0A2I2UYA8	unreviewed	A0A2I2UYA8_FELCA	C-C motif chemokine ligand 27	CCL27	Felis catus (Cat) (Felis silvestris catus)	113
A0A2I2V0D3	unreviewed	A0A2I2V0D3_FELCA	C-X-C motif chemokine	CXCL11	Felis catus (Cat) (Felis silvestris catus)	100
A0A2I2V3G2	unreviewed	A0A2I2V3G2_FELCA	C-C motif chemokine	LOC101081091	Felis catus (Cat) (Felis silvestris catus)	93
A0A2I3RZV6	unreviewed	A0A2I3RZV6_PANTR	C-X-C motif chemokine	CXCL1	Pan troglodytes (Chimpanzee)	105
A0A2I3S7G8	unreviewed	A0A2I3S7G8_PANTR	C-C motif chemokine		Pan troglodytes (Chimpanzee)	99
A0A2I3SAA6	unreviewed	A0A2I3SAA6_PANTR	Chemokine interleukin-8-like domain-containing protein		Pan troglodytes (Chimpanzee)	92
A0A2I3SMD5	unreviewed	A0A2I3SMD5_PANTR	C-C motif chemokine	CCL22	Pan troglodytes (Chimpanzee)	93
A0A2I3SR46	unreviewed	A0A2I3SR46_PANTR	C-C motif chemokine	CCL3L3	Pan troglodytes (Chimpanzee)	87
A0A2I3SS61	unreviewed	A0A2I3SS61_PANTR	Chemokine interleukin-8-like domain-containing protein		Pan troglodytes (Chimpanzee)	87
A0A2I3SUB7	unreviewed	A0A2I3SUB7_PANTR	C-X-C motif chemokine	CXCL2	Pan troglodytes (Chimpanzee)	117
A0A2I3T6I9	unreviewed	A0A2I3T6I9_PANTR	Chemokine interleukin-8-like domain-containing protein	LOC469572	Pan troglodytes (Chimpanzee)	114
A0A2I3TGU9	unreviewed	A0A2I3TGU9_PANTR	Chemokine interleukin-8-like domain-containing protein	LOC455004	Pan troglodytes (Chimpanzee)	103
A0A2J8LJ49	unreviewed	A0A2J8LJ49_PANTR	C-C motif chemokine	CK820_G0028671	Pan troglodytes (Chimpanzee)	99
A0A2J8LJ50	unreviewed	A0A2J8LJ50_PANTR	C-C motif chemokine	CK820_G0028673	Pan troglodytes (Chimpanzee)	99
A0A2J8LJK6	unreviewed	A0A2J8LJK6_PANTR	C-C motif chemokine	CK820_G0028752	Pan troglodytes (Chimpanzee)	93
A0A2J8LJL0	unreviewed	A0A2J8LJL0_PANTR	C-C motif chemokine	CK820_G0028758	Pan troglodytes (Chimpanzee)	120
A0A2J8LJL5	unreviewed	A0A2J8LJL5_PANTR	C-C motif chemokine	CK820_G0028752	Pan troglodytes (Chimpanzee)	115
A0A2J8LJW1	unreviewed	A0A2J8LJW1_PANTR	C-C motif chemokine	CK820_G0028814	Pan troglodytes (Chimpanzee)	87
A0A2J8LRP4	unreviewed	A0A2J8LRP4_PANTR	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CK820_G0026685	Pan troglodytes (Chimpanzee)	99
A0A2J8MW74	unreviewed	A0A2J8MW74_PANTR	C-C motif chemokine	CCL17	Pan troglodytes (Chimpanzee)	94
A0A2J8NFH2	unreviewed	A0A2J8NFH2_PANTR	C-C motif chemokine	CK820_G0010930	Pan troglodytes (Chimpanzee)	95
A0A2J8PFF2	unreviewed	A0A2J8PFF2_PANTR	C-X-C motif chemokine	CK820_G0003474	Pan troglodytes (Chimpanzee)	95
A0A2J8PX74	unreviewed	A0A2J8PX74_PANTR	C-C motif chemokine	CCL26	Pan troglodytes (Chimpanzee)	94
A0A2J8QS38	unreviewed	A0A2J8QS38_PANTR	C-C motif chemokine	CK820_G0014397	Pan troglodytes (Chimpanzee)	104

A0A2R8QR67	unreviewed	A0A2R8QR67_DANRE	C-C motif chemokine 21 (Chemokine (C-C motif) ligand 25a)	ccl25a	Danio rerio (Zebrafish) (Brachydanio rerio)	102
A0A2R8QTH6	unreviewed	A0A2R8QTH6_DANRE	Chemokine (C-C motif) ligand 19a, tandem duplicate 2 (Similar to CC chemokine SCYA113)	ccl19a.2 LOC794521	Danio rerio (Zebrafish) (Brachydanio rerio)	96
A0A337RX34	unreviewed	A0A337RX34_FELCA	C-C motif chemokine	CCL7	Felis catus (Cat) (Felis silvestris catus)	99
A0A337RXN0	unreviewed	A0A337RXN0_FELCA	C-C motif chemokine	CCL26	Felis catus (Cat) (Felis silvestris catus)	94
A0A337S622	unreviewed	A0A337S622_FELCA	C-C motif chemokine	LOC100302541	Felis catus (Cat) (Felis silvestris catus)	102
A0A337SE00	unreviewed	A0A337SE00_FELCA	Multifunctional fusion protein [Includes: Platelet factor 4 (PF-4) (C-X-C motif chemokine 4); C-X-C motif chemokine]	LOC101094096	Felis catus (Cat) (Felis silvestris catus)	104

A0A3B3H316	unreviewed	A0A3B3H316_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	90
A0A3B3H685	unreviewed	A0A3B3H685_ORYLA	C-C motif chemokine	LOC105356475	Oryzias latipes (Japanese rice fish) (Japanese killifish)	104
A0A3B3HAT5	unreviewed	A0A3B3HAT5_ORYLA	C-C motif chemokine	LOC111949233	Oryzias latipes (Japanese rice fish) (Japanese killifish)	91
A0A3B3HJI2	unreviewed	A0A3B3HJI2_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	103
A0A3B3HMK6	unreviewed	A0A3B3HMK6_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	91
A0A3B3HUL4	unreviewed	A0A3B3HUL4_ORYLA	Chemokine (C-X-C motif) ligand 19	cxcl19	Oryzias latipes (Japanese rice fish) (Japanese killifish)	104
A0A3B3HY37	unreviewed	A0A3B3HY37_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	109
A0A3B3IBY0	unreviewed	A0A3B3IBY0_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	100
A0A3B3IMY0	unreviewed	A0A3B3IMY0_ORYLA	C-C motif chemokine	LOC105356475	Oryzias latipes (Japanese rice fish) (Japanese killifish)	104
A0A3B3IPA3	unreviewed	A0A3B3IPA3_ORYLA	Chemokine interleukin-8-like domain-containing protein	LOC101163143	Oryzias latipes (Japanese rice fish) (Japanese killifish)	96
A0A3P9H4J5	unreviewed	A0A3P9H4J5_ORYLA	Chemokine (C-X-C motif) ligand 19		Oryzias latipes (Japanese rice fish) (Japanese killifish)	104
A0A3P9H4U1	unreviewed	A0A3P9H4U1_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	111
A0A3P9H7Z1	unreviewed	A0A3P9H7Z1_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	97
A0A3P9HBP0	unreviewed	A0A3P9HBP0_ORYLA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)		Oryzias latipes (Japanese rice fish) (Japanese killifish)	98
A0A3P9I3D4	unreviewed	A0A3P9I3D4_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	91
A0A3P9I3G1	unreviewed	A0A3P9I3G1_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	88
A0A3P9I426	unreviewed	A0A3P9I426_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	107
A0A3P9ITR7	unreviewed	A0A3P9ITR7_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	93
A0A3P9ITS4	unreviewed	A0A3P9ITS4_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	100
A0A3P9IWD5	unreviewed	A0A3P9IWD5_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	96
A0A3P9JQG7	unreviewed	A0A3P9JQG7_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	90
A0A3P9JTX8	unreviewed	A0A3P9JTX8_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	113
A0A3P9JY57	unreviewed	A0A3P9JY57_ORYLA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)		Oryzias latipes (Japanese rice fish) (Japanese killifish)	98
A0A3P9K9G7	unreviewed	A0A3P9K9G7_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	110
A0A3P9KDP8	unreviewed	A0A3P9KDP8_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	97
A0A3P9KDS9	unreviewed	A0A3P9KDS9_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	97
A0A3P9KX29	unreviewed	A0A3P9KX29_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	91
A0A3P9L2J2	unreviewed	A0A3P9L2J2_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	118
A0A3P9LUY3	unreviewed	A0A3P9LUY3_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	110
A0A3P9LY13	unreviewed	A0A3P9LY13_ORYLA	Interleukin-8-like		Oryzias latipes (Japanese rice fish) (Japanese killifish)	96
A0A3P9M7S4	unreviewed	A0A3P9M7S4_ORYLA	Chemokine interleukin-8-like domain-containing protein		Oryzias latipes (Japanese rice fish) (Japanese killifish)	113
A0A3P9MAG9	unreviewed	A0A3P9MAG9_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	101
A0A3P9MAI8	unreviewed	A0A3P9MAI8_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	99
A0A3P9MDH6	unreviewed	A0A3P9MDH6_ORYLA	C-C motif chemokine		Oryzias latipes (Japanese rice fish) (Japanese killifish)	98

A0A3Q1LKC4	unreviewed	A0A3Q1LKC4_BOVIN	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Bos taurus (Bovine)	117
A0A3Q1M5N8	unreviewed	A0A3Q1M5N8_BOVIN	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Bos taurus (Bovine)	93
A0A3Q1N456	unreviewed	A0A3Q1N456_BOVIN	C-X-C motif chemokine		Bos taurus (Bovine)	102
A0A3Q2HK92	unreviewed	A0A3Q2HK92_HORSE	C-C motif chemokine 1 (Small-inducible cytokine A1)	CCL1	Equus caballus (Horse)	94
A0A3Q2I4T7	unreviewed	A0A3Q2I4T7_HORSE	C-C motif chemokine 22 (Small-inducible cytokine A22)	CCL22	Equus caballus (Horse)	93
A0A3Q2IDW7	unreviewed	A0A3Q2IDW7_HORSE	Chemokine interleukin-8-like domain-containing protein	XCL1	Equus caballus (Horse)	112
A0A3S5ZPQ1	unreviewed	A0A3S5ZPQ1_CHICK	C-C motif chemokine	CCLi5	Gallus gallus (Chicken)	97
A0A480X3P5	unreviewed	A0A480X3P5_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	107
A0A481B8J5	unreviewed	A0A481B8J5_PIG	C-X-C motif chemokine		Sus scrofa (Pig)	103
A0A4D6YKM5	unreviewed	A0A4D6YKM5_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMT2	unreviewed	A0A4D6YMT2_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMU3	unreviewed	A0A4D6YMU3_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YMV4	unreviewed	A0A4D6YMV4_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YNR9	unreviewed	A0A4D6YNR9_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YW90	unreviewed	A0A4D6YW90_RAT	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	Xcl1 XCL1	Rattus norvegicus (Rat)	114
A0A4D6YWC7	unreviewed	A0A4D6YWC7_MOUSE	Lymphotactin (C motif chemokine 1) (Cytokine SCM-1) (Small-inducible cytokine C1)	XCL1	Mus musculus (Mouse)	114

A0A4X1SDP2	unreviewed	A0A4X1SDP2_PIG	C-C motif chemokine		Sus scrofa (Pig)	93
A0A4X1SVT8	unreviewed	A0A4X1SVT8_PIG	C-X-C motif chemokine	CXCL13	Sus scrofa (Pig)	111
A0A4X1SX03	unreviewed	A0A4X1SX03_PIG	C-X-C motif chemokine	CXCL11	Sus scrofa (Pig)	100
A0A4X1SZ52	unreviewed	A0A4X1SZ52_PIG	C-X-C motif chemokine	CXCL10	Sus scrofa (Pig)	103
A0A4X1T2F3	unreviewed	A0A4X1T2F3_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T3L2	unreviewed	A0A4X1T3L2_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T3T9	unreviewed	A0A4X1T3T9_PIG	C-X-C motif chemokine	CXCL8	Sus scrofa (Pig)	95
A0A4X1T4W1	unreviewed	A0A4X1T4W1_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T4Z1	unreviewed	A0A4X1T4Z1_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T503	unreviewed	A0A4X1T503_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T574	unreviewed	A0A4X1T574_PIG	C-C motif chemokine	CCL16	Sus scrofa (Pig)	120
A0A4X1T596	unreviewed	A0A4X1T596_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T5A9	unreviewed	A0A4X1T5A9_PIG	C-X-C motif chemokine	LOC100525396	Sus scrofa (Pig)	107
A0A4X1T5B6	unreviewed	A0A4X1T5B6_PIG	C-X-C motif chemokine	LOC100525396 CXCL2	Sus scrofa (Pig)	107
A0A4X1T5K8	unreviewed	A0A4X1T5K8_PIG	C-C motif chemokine		Sus scrofa (Pig)	92
A0A4X1T626	unreviewed	A0A4X1T626_PIG	C-C motif chemokine	CCL14	Sus scrofa (Pig)	99
A0A4X1TDM7	unreviewed	A0A4X1TDM7_PIG	C-C motif chemokine	CCL1	Sus scrofa (Pig)	94
A0A4X1U1V7	unreviewed	A0A4X1U1V7_PIG	C-C motif chemokine	CCL20	Sus scrofa (Pig)	95
A0A4X1UMT7	unreviewed	A0A4X1UMT7_PIG	C-C motif chemokine		Sus scrofa (Pig)	94
A0A4X1V768	unreviewed	A0A4X1V768_PIG	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Sus scrofa (Pig)	109
A0A5F5PZB4	unreviewed	A0A5F5PZB4_HORSE	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)		Equus caballus (Horse)	111
A0A5F5Q0J6	unreviewed	A0A5F5Q0J6_HORSE	C-C motif chemokine 22 (Small-inducible cytokine A22)	CCL22	Equus caballus (Horse)	104
A0A5F5XEB1	unreviewed	A0A5F5XEB1_FELCA	C-C motif chemokine		Felis catus (Cat) (Felis silvestris catus)	80
A0A5F5XKN5	unreviewed	A0A5F5XKN5_FELCA	C-X-C motif chemokine	CXCL13	Felis catus (Cat) (Felis silvestris catus)	120
A0A5F5XM52	unreviewed	A0A5F5XM52_FELCA	C-C motif chemokine	CCL17	Felis catus (Cat) (Felis silvestris catus)	90
A0A5F5XN15	unreviewed	A0A5F5XN15_FELCA	C-X-C motif chemokine	LOC111560177	Felis catus (Cat) (Felis silvestris catus)	103
A0A5F5XS99	unreviewed	A0A5F5XS99_FELCA	C-X-C motif chemokine	LOC111560177	Felis catus (Cat) (Felis silvestris catus)	114
A0A5F5XSY1	unreviewed	A0A5F5XSY1_FELCA	C-X-C motif chemokine	PPBP	Felis catus (Cat) (Felis silvestris catus)	113
A0A5F5XX68	unreviewed	A0A5F5XX68_FELCA	C-X-C motif chemokine	CXCL11	Felis catus (Cat) (Felis silvestris catus)	96
A0A5F5Y0T3	unreviewed	A0A5F5Y0T3_FELCA	C-X-C motif chemokine	LOC101093854	Felis catus (Cat) (Felis silvestris catus)	96
A0A5F5Y5R3	unreviewed	A0A5F5Y5R3_FELCA	C-C motif chemokine	CCL19	Felis catus (Cat) (Felis silvestris catus)	115
A0A5F5Y646	unreviewed	A0A5F5Y646_FELCA	C-X-C motif chemokine	LOC111560177	Felis catus (Cat) (Felis silvestris catus)	103
A0A5F7ZI24	unreviewed	A0A5F7ZI24_MACMU	C-C motif chemokine	CCL8	Macaca mulatta (Rhesus macaque)	104
A0A5F8ACP1	unreviewed	A0A5F8ACP1_MACMU	C-C motif chemokine 22 (Small-inducible cytokine A22)	CCL22	Macaca mulatta (Rhesus macaque)	93
A0A5F8G3R6	unreviewed	A0A5F8G3R6_MONDO	Chemokine interleukin-8-like domain-containing protein		Monodelphis domestica (Gray short-tailed opossum)	97
A0A5F8G6A0	unreviewed	A0A5F8G6A0_MONDO	C-C motif chemokine	CCL19	Monodelphis domestica (Gray short-tailed opossum)	93
A0A5F8G849	unreviewed	A0A5F8G849_MONDO	C-C motif chemokine 22 (Small-inducible cytokine A22)		Monodelphis domestica (Gray short-tailed opossum)	80
A0A5F8GQ29	unreviewed	A0A5F8GQ29_MONDO	C-C motif chemokine	LOC100017328	Monodelphis domestica (Gray short-tailed opossum)	91
A0A5F8GRB3	unreviewed	A0A5F8GRB3_MONDO	C-C motif chemokine	LOC100017328	Monodelphis domestica (Gray short-tailed opossum)	91
A0A5F8GSS6	unreviewed	A0A5F8GSS6_MONDO	Interleukin-8 (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)	CXCL13	Monodelphis domestica (Gray short-tailed opossum)	111
A0A5F8HEY2	unreviewed	A0A5F8HEY2_MONDO	C-X-C motif chemokine ligand 11	CXCL11	Monodelphis domestica (Gray short-tailed opossum)	87
A0A5F8HF86	unreviewed	A0A5F8HF86_MONDO	C-C motif chemokine	LOC100017328	Monodelphis domestica (Gray short-tailed opossum)	91
A0A5F8HKT8	unreviewed	A0A5F8HKT8_MONDO	C-C motif chemokine	LOC100017328	Monodelphis domestica (Gray short-tailed opossum)	91
A0A5F8HM16	unreviewed	A0A5F8HM16_MONDO	C-C motif chemokine	LOC100017328	Monodelphis domestica (Gray short-tailed opossum)	91
A0A5G2QBL8	unreviewed	A0A5G2QBL8_PIG	C-X-C motif chemokine	CXCL8	Sus scrofa (Pig)	95
A0A5G2QDT3	unreviewed	A0A5G2QDT3_PIG	C-C motif chemokine	CCL17	Sus scrofa (Pig)	96
A0A5G2R804	unreviewed	A0A5G2R804_PIG	C-C motif chemokine	CCL17	Sus scrofa (Pig)	99

A0A674H725	unreviewed	A0A674H725_TAEGU	Chemokine interleukin-8-like domain-containing protein	LOC101233529	Taeniopygia guttata (Zebra finch) (Poephila guttata)	96
A0A674HPH2	unreviewed	A0A674HPH2_TAEGU	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	CXCL12	Taeniopygia guttata (Zebra finch) (Poephila guttata)	91
A0A674HRK9	unreviewed	A0A674HRK9_TAEGU	C-C motif chemokine		Taeniopygia guttata (Zebra finch) (Poephila guttata)	102
A0A674HSH6	unreviewed	A0A674HSH6_TAEGU	Chemokine interleukin-8-like domain-containing protein	LOC105759181	Taeniopygia guttata (Zebra finch) (Poephila guttata)	102
A0A674MV85	unreviewed	A0A674MV85_TAKRU	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	cxcl12b	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	100
A0A674PAR9	unreviewed	A0A674PAR9_TAKRU	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	cxcl12b	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	90
A0A674PMW3	unreviewed	A0A674PMW3_TAKRU	Chemokine (C-X-C motif) ligand 19	LOC105418180	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	103
A0A6D2W3M7	unreviewed	A0A6D2W3M7_PANTR	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CK820_G0048335	Pan troglodytes (Chimpanzee)	93
A0A6D2W5A1	unreviewed	A0A6D2W5A1_PANTR	C-C motif chemokine	CK820_G0016597	Pan troglodytes (Chimpanzee)	93
A0A6D2WB48	unreviewed	A0A6D2WB48_PANTR	C-C motif chemokine	CK820_G0028675	Pan troglodytes (Chimpanzee)	98
A0A6D2WGT6	unreviewed	A0A6D2WGT6_PANTR	C-X-C motif chemokine	CK820_G0003476	Pan troglodytes (Chimpanzee)	114
A0A6D2WIS0	unreviewed	A0A6D2WIS0_PANTR	C-C motif chemokine	CK820_G0028751	Pan troglodytes (Chimpanzee)	120
A0A6D2WRJ0	unreviewed	A0A6D2WRJ0_PANTR	C-X-C motif chemokine	CK820_G0003486	Pan troglodytes (Chimpanzee)	107
A0A6D2WSN0	unreviewed	A0A6D2WSN0_PANTR	C-C motif chemokine	CK820_G0028755	Pan troglodytes (Chimpanzee)	113
A0A6D2WU21	unreviewed	A0A6D2WU21_PANTR	C-X-C motif chemokine	CK820_G0003489	Pan troglodytes (Chimpanzee)	107
A0A6D2WX07	unreviewed	A0A6D2WX07_PANTR	C-C motif chemokine	CK820_G0028676	Pan troglodytes (Chimpanzee)	96
A0A6D2WXY5	unreviewed	A0A6D2WXY5_PANTR	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	CK820_G0048335	Pan troglodytes (Chimpanzee)	119
A0A6D2X113	unreviewed	A0A6D2X113_PANTR	C-C motif chemokine	CK820_G0010930	Pan troglodytes (Chimpanzee)	96
A0A6D2X4X5	unreviewed	A0A6D2X4X5_PANTR	C-C motif chemokine	CK820_G0028813	Pan troglodytes (Chimpanzee)	92
A0A6D2XEA6	unreviewed	A0A6D2XEA6_PANTR	C-X-C motif chemokine	CK820_G0003479	Pan troglodytes (Chimpanzee)	107
A0A6D2XMZ7	unreviewed	A0A6D2XMZ7_PANTR	C10orf99 isoform 1	CK820_G0038538	Pan troglodytes (Chimpanzee)	81
A0A6D2XQV2	unreviewed	A0A6D2XQV2_PANTR	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CK820_G0026685	Pan troglodytes (Chimpanzee)	111
A0A6D2XW97	unreviewed	A0A6D2XW97_PANTR	C-X-C motif chemokine	CK820_G0003478	Pan troglodytes (Chimpanzee)	104
A0A6D2XZ64	unreviewed	A0A6D2XZ64_PANTR	C-C motif chemokine	CK820_G0052202	Pan troglodytes (Chimpanzee)	94
A0A6D2XZD1	unreviewed	A0A6D2XZD1_PANTR	C-C motif chemokine	CK820_G0028759	Pan troglodytes (Chimpanzee)	89
A0A6D2XZU0	unreviewed	A0A6D2XZU0_PANTR	C-X-C motif chemokine	CK820_G0003484	Pan troglodytes (Chimpanzee)	114
A0A6D2Y582	unreviewed	A0A6D2Y582_PANTR	C-C motif chemokine	CK820_G0016595	Pan troglodytes (Chimpanzee)	94
A0A6D2Y5K9	unreviewed	A0A6D2Y5K9_PANTR	C-X-C motif chemokine	CK820_G0003526	Pan troglodytes (Chimpanzee)	94
A0A6D2Y629	unreviewed	A0A6D2Y629_PANTR	C-C motif chemokine	CK820_G0028762	Pan troglodytes (Chimpanzee)	92
A0A6D2Y7D5	unreviewed	A0A6D2Y7D5_PANTR	C-C motif chemokine	CK820_G0028670	Pan troglodytes (Chimpanzee)	99
A0A6I8MZD4	unreviewed	A0A6I8MZD4_ORNAN	C-X-C motif chemokine	LOC100080367	Ornithorhynchus anatinus (Duckbill platypus)	117
